viral_NCBI_refname,description
NC_047896.1," UNVERIFIED: Acinetobacter phage SWH-Ab-1, complete genome"
NC_047883.1," UNVERIFIED: Acinetobacter phage SWH-Ab-3, complete genome"
NC_025462.1," Acinetobacter phage vB_AbaM_Acibel004, complete genome"
NC_048074.1," Acinetobacter phage vB_AbaM_B09_Aci01-1, complete genome"
NC_048075.1," Acinetobacter phage vB_AbaM_B09_Aci02-2, complete genome"
NC_048080.1," Acinetobacter phage vB_AbaM_B09_Aci05, complete genome"
NC_041884.1," Acinetobacter phage vB_AbaM_ME3, complete genome"
NC_031280.1," Acinetobacter phage vB_AbaM_phiAbaA1, complete genome"
NC_048076.1," Acinetobacter phage vB_AbaP_46-62_Aci07, complete genome"
NC_025457.1," Acinetobacter phage vB_AbaP_Acibel007, complete genome"
NC_041915.1," Acinetobacter phage vB_AbaP_AS11, complete genome"
NC_041914.1," Acinetobacter phage vB_AbaP_AS12, complete genome"
NC_048081.1," Acinetobacter phage vB_AbaP_B09_Aci08, complete genome"
NC_042003.1," Acinetobacter phage vB_AbaP_B1, complete genome"
NC_042004.1," Acinetobacter phage vB_AbaP_B3, complete genome"
NC_042005.1," Acinetobacter phage vB_AbaP_B5, complete genome"
NC_042124.1," Acinetobacter phage vB_AbaP_D2, complete genome"
NC_028684.1," Acinetobacter phage vB_AbaP_PD-6A3, complete genome"
NC_028679.1," Acinetobacter phage vB_AbaP_PD-AB9, complete genome"
NC_031098.1," Acinetobacter phage vB_AbaS_TRS1, complete genome"
NC_042006.1," Acinetobacter phage vB_ApiP_P1, complete genome"
NC_042007.1," Acinetobacter phage vB_ApiP_P2, complete genome"
NC_041924.1," Acinetobacter phage WCHABP12, complete genome"
NC_041966.1," Acinetobacter phage WCHABP1, complete genome"
NC_041967.1," Acinetobacter phage WCHABP5, complete genome"
NC_019541.1," Acinetobacter phage YMC/09/02/B1251_ABA_BP, complete genome"
NC_041866.1," Acinetobacter phage YMC11/11/R3177, complete genome"
NC_028855.1," Acinetobacter phage YMC11/12/R2315, complete genome"
NC_024785.1," Acinetobacter phage YMC-13-01-C62, complete genome"
NC_027332.1," Acinetobacter phage YMC13/03/R2096, complete genome"
NC_018087.3," Acinetobacter phage ZZ1, complete genome"
NC_015250.1," Acinetobacter phage 133, complete genome"
NC_002795.1," Aconitum latent virus, complete genome"
NC_038769.1," Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA1 RNA-dependent RNA polymerase gene, complete cds"
NC_038770.1," Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA2 glycoprotein precursor, gene, complete cds"
NC_038772.1," Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA3 nucleocapsid protein gene, complete cds"
NC_038771.1," Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA4 membrane-located protein gene, complete cds"
NC_038773.1," Actinidia chlorotic ringspot associated virus isolate HN-6 segment RNA5 putative protein gene, complete cds"
NC_040800.1," Actinidia seed-borne latent virus isolate 01227, complete genome"
NC_035453.1," Actinidia virus 1 isolate K75, complete genome"
NC_016404.1," Actinidia virus B, complete genome"
NC_028649.1," Actinidia virus X strain RV-3124 RNA-dependent RNA polymerase, triple gene block protein 1, triple gene block protein 2, triple gene block protein 3, coat protein, and putative 10 kDa protein genes, complete cds"
NC_009643.1," Actinomyces phage Av-1, complete genome"
NC_005885.1," Actinoplanes phage phiAsp2, complete genome"
NC_002548.1," Acute bee paralysis virus, complete genome"
NC_003780.1," Acyrthosiphon pisum virus protein P1 gene, complete cds; and protein P2 gene, partial cds"
NC_029127.1," Adana virus strain 195 segment L, complete sequence"
NC_029128.1," Adana virus strain 195 segment M, complete sequence"
NC_029129.1," Adana virus strain 195 segment S, complete sequence"
NC_028246.1," Adelaide River virus isolate DPP61, complete genome"
NC_026141.2," Adelie penguin polyomavirus isolate AdPyV_Crozier_2012, complete genome"
NC_032728.1," Adelphocoris suturalis virus isolate HBWH, complete genome"
NC_002077.1," Adeno-associated virus - 1, complete genome"
NC_001401.2," Adeno-associated virus - 2, complete genome"
NC_001729.1," Adeno-associated virus - 3, complete genome"
NC_001829.1," Adeno-associated virus - 4, complete genome"
NC_006152.1," Adeno-associated virus 5, complete genome"
NC_006260.1," Adeno-associated virus - 7, complete genome"
NC_006261.1," Adeno-associated virus - 8, complete genome"
NC_040671.1," Adeno-associated virus isolate MHH-05-2015, complete genome"
NC_021247.1," Adoxophyes honmai enomopoxvirus 'L', complete genome"
NC_004690.1," Adoxophyes honmai NPV, complete genome"
NC_005038.1," Adoxophyes orana granulovirus, complete genome"
NC_011423.1," Adoxophyes orana nucleopolyhedrovirus, complete genome"
NC_007548.1," Adult diarrheal rotavirus strain J19, complete genome"
NC_007549.1," Adult diarrheal rotavirus strain J19, complete genome"
NC_007551.1," Adult diarrheal rotavirus strain J19, complete genome"
NC_007550.1," Adult diarrheal rotavirus strain J19, complete genome"
NC_007552.1," Adult diarrheal rotavirus strain J19, complete genome"
NC_007553.1," Adult diarrheal rotavirus strain J19, complete genome"
NC_007555.1," Adult diarrheal rotavirus strain J19, complete genome"
NC_007554.1," Adult diarrheal rotavirus strain J19, complete genome"
NC_007556.1," Adult diarrheal rotavirus strain J19, complete genome"
NC_007557.1," Adult diarrheal rotavirus strain J19, complete genome"
NC_007558.1," Adult diarrheal rotavirus strain J19, complete genome"
NC_012636.1," Aedes aegypti densovirus 2 strain 0814616, complete genome"
NC_035130.1," Aedes alboannulatus toti-like virus 1 strain mosWSCP114121, complete genome"
NC_004285.1, Aedes albopictus densovirus 2 DNA
NC_035128.1," Aedes camptorhynchus negev-like virus strain mos191CP47896, complete genome"
NC_035222.1," Aedes camptorhynchus reo-like virus strain mos182CP78499 segment 1, complete genome"
NC_035216.1," Aedes camptorhynchus reo-like virus strain mos182CP78499 segment 2, complete genome"
NC_035223.1," Aedes camptorhynchus reo-like virus strain mos182CP78499 segment 3, complete genome"
NC_035217.1," Aedes camptorhynchus reo-like virus strain mos182CP78499 segment 4, complete genome"
NC_035131.1," Aedes camptorhynchus toti-like virus 1 strain mos172CP87493, complete genome"
NC_012932.1," Aedes flavivirus genomic RNA, complete genome, strain: Narita-21"
NC_007666.1," Aedes pseudoscutellaris reovirus segment 1, complete sequence"
NC_007667.1," Aedes pseudoscutellaris reovirus segment 2, complete sequence"
NC_007668.1," Aedes pseudoscutellaris reovirus segment 3, complete sequence"
NC_007669.1," Aedes pseudoscutellaris reovirus segment 4, complete sequence"
NC_007670.1," Aedes pseudoscutellaris reovirus segment 5, complete sequence"
NC_007671.1," Aedes pseudoscutellaris reovirus segment 6, complete sequence"
NC_007672.1," Aedes pseudoscutellaris reovirus segment 7, complete sequence"
NC_007673.1," Aedes pseudoscutellaris reovirus segment 8, complete sequence"
NC_007674.1," Aedes pseudoscutellaris reovirus segment 9, complete sequence"
NC_038762.1," Aeonium ringspot virus segment RNA1, complete sequence"
NC_038761.1," Aeonium ringspot virus segment RNA2, complete sequence"
NC_047966.1," Aeromonas phage 25AhydR2PP, complete genome"
NC_020879.1," Aeromonas phage Aes012, complete genome"
NC_019543.1," Aeromonas phage Aes508, complete genome"
NC_047866.1," Aeromonas phage Ahp1, complete genome"
NC_047950.1," Aeromonas phage AhSzw-1, complete genome"
NC_042019.1," Aeromonas phage AS-gz, complete genome"
NC_019538.1," Aeromonas phage CC2, complete genome"
NC_047865.1," Aeromonas phage CF7, complete genome"
NC_025459.1," Aeromonas phage pAh6-C, complete genome"
NC_014635.1," Aeromonas phage phiAS4, complete genome"
NC_014636.1," Aeromonas phage phiAS5, complete genome"
NC_019528.1," Aeromonas phage phiAS7, complete genome"
NC_042037.1, Aeromonas phage pIS4-A genomic sequence
NC_023688.1," Aeromonas phage PX29, complete genome"
NC_019527.1," Aeromonas phage vB_AsaM-56, complete genome"
NC_048133.1," Aeromonas phage ZPAH7, complete genome"
NC_008208.1," Aeromonas phage 25, complete genome"
NC_007022.1," Aeromonas phage 31, complete genome"
NC_005135.1," Aeromonas phage 44RR2.8t, complete genome"
NC_015251.1," Aeromonas phage 65, complete genome"
NC_005260.1," Aeromonas phage Aeh1, complete genome"
NC_009542.2," Aeromonas phage phiO18P, complete genome"
NC_043427.1, Aeropyrum coil-shaped virus complete genome
NC_036595.1," Aeropyrum globular virus 1 genomic DNA, complete genome"
NC_043030.1," Aeropyrum pernix bacilliform virus 1 DNA, segment 1, complete sequence"
NC_028256.1, Aeropyrum pernix ovoid virus 1 complete genome
NC_028268.1, Aeropyrum pernix spindle-shaped virus 1 complete genome
NC_026470.1," African bat icavirus A isolate PREDICT-06105, complete genome"
NC_001467.1," African cassava mosaic virus isolate West Kenyan 844 segment DNA1, complete sequence"
NC_001468.1," African cassava mosaic virus isolate West Kenyan 844 segment DNA2, complete sequence"
NC_043537.1," African eggplant mosaic virus isolate 2013-281, complete genome"
NC_034207.1," African eggplant yellowing virus isolate eMA4, complete genome"
NC_022519.1," African elephant polyomavirus 1, complete genome"
NC_004763.2," African green monkey polyomavirus, complete genome"
NC_010820.1," Simian foamy virus 3, complete genome"
NC_006021.1," African horsesickness virus segment 1, complete genome"
NC_005996.1," African horsesickness virus segment 2, complete genome"
NC_006017.1," African horsesickness virus segment 3, complete sequence"
NC_006012.1," African horsesickness virus segment 4, complete sequence"
NC_006020.1, African horsesickness virus
NC_006018.1," African horsesickness virus segment 6, complete sequence"
NC_006011.1," African horsesickness virus segment 7, complete sequence"
NC_006016.1," African horsesickness virus segment 8, complete sequence"
NC_006009.1," African horsesickness virus segment 10, complete sequence"
NC_006019.1," African horsesickness virus chromosome segment 9, complete genome"
NC_012519.1," African oil palm ringspot virus, complete genome"
NC_026439.1," Forest pouched giant rat arterivirus isolate PREDICT-06509, complete genome"
NC_044956.1," African swine fever virus Benin 97/1 pathogenic isolate, complete genome"
NC_044958.1," African swine fever virus E75 complete genome, strain E75"
NC_044959.1, African swine fever virus Georgia 2007/1 complete genome
NC_044957.1," African swine fever virus OURT 88/3 (avirulent field isolate), complete genome"
NC_001659.2," African swine fever virus strain BA71V, complete genome"
NC_044945.1," African swine fever virus strain Ken05/Tk1, complete genome"
NC_044946.1," African swine fever virus strain Ken06.Bus, complete genome"
NC_044941.1," African swine fever virus strain L60, complete genome"
NC_044943.1," African swine fever virus strain NHV, complete genome"
NC_044944.1," African swine fever virus isolate Kenya 1950, complete genome"
NC_044947.1," African swine fever virus isolate 26544/OG10 from Italy, complete genome"
NC_044948.1," UNVERIFIED: African swine fever virus isolate Odintsovo_02/14, complete genome"
NC_044949.1," African swine fever virus isolate Warthog, complete genome"
NC_044950.1," African swine fever virus isolate Warmbaths, complete genome"
NC_044951.1," African swine fever virus isolate Tengani 62, complete genome"
NC_044952.1," African swine fever virus isolate Pretorisuskop/96/4, complete genome"
NC_044953.1," African swine fever virus isolate Mkuzi 1979, complete genome"
NC_044954.1," African swine fever virus isolate Malawi Lil-20/1 (1983), complete genome"
NC_044955.1," African swine fever virus isolate 47/Ss/2008, complete genome"
NC_034833.1," Agave tequilana leaf virus isolate agave azul-Mex1, complete genome"
NC_024710.1," Ageratum conyzoides symtomless alphasatellite complete sequence, isolate Okra, clone Neo 23"
NC_028116.1," Ageratum conyzoides symptomless alphasatellite isolate WOK80, complete sequence"
NC_019547.1," Ageratum enation alphasatellite, complete genome"
NC_003434.1," Ageratum enation virus, complete genome"
NC_022127.1," Ageratum latent virus isolate 1998 segment RNA 1, complete sequence"
NC_022128.1," Ageratum latent virus isolate 1998 segment RNA 2, complete sequence"
NC_022129.1," Ageratum latent virus isolate 1998 segment RNA 3, complete sequence"
NC_020889.1," Ageratum leaf curl betasatellite isolate Sikar M 2, complete sequence"
NC_014746.1," Ageratum leaf curl Buea betasatellite, complete genome"
NC_014744.1," Ageratum leaf curl Cameroon alphasatellite, complete genome"
NC_012557.1," Ageratum leaf Cameroon betasatellite, complete genome"
NC_014645.1," Ageratum leaf curl Cameroon virus, complete genome"
NC_006384.1," Ageratum leaf curl virus - [G52], complete genome"
NC_005046.1," Ageratum leaf curl disease associated sequence virion, complete genome"
NC_033555.1," Ageratum yellow vein alphasatellite clone N36-24, complete sequence"
NC_003403.1," Ageratum yellow vein virus-associated DNA beta, complete genome"
NC_023443.1," Ageratum yellow vein China alphasatellite isolate Sn3 segment DNA-1, complete sequence"
NC_007067.1," Ageratum yellow vein China virus-associated DNA beta, complete genome"
NC_004090.1," Ageratum yellow vein China virus-[Hn2] complete genome, isolate Hn2"
NC_021202.1," Ageratum Yellow vein China virus - OX1, complete genome"
NC_010812.1," Ageratum yellow vein Hualian virus-[Taiwan:Hsinchu:tom:2003] DNA A, complete sequence"
NC_038913.1," Ageratum yellow vein Hualian virus-[Taiwan:Hualian4:2000] segment DNA A, complete sequence"
NC_019546.1," Ageratum yellow vein India alphasatellite isolate NBRI, complete sequence"
NC_043428.1, Ageratum yellow vein India betasatellite C1 gene
NC_033271.1," Ageratum yellow vein Pakistan alphasatellite alpha Rep gene, isolate H5A1"
NC_003414.1," Ageratum yellow vein Singapore alphasatellite-[Singapore;1998], complete genome"
NC_043429.1," Ageratum yellow vein Sri Lanka betasatellite C1 gene, clone sl7-1"
NC_002981.1," Ageratum yellow vein Sri Lanka virus segment A, complete genome"
NC_004627.1," Ageratum yellow vein Taiwan virus, complete genome"
NC_027040.1," Ageratum yellow vein virus strain Guam 12-02 segment A, complete sequence"
NC_004626.1," Ageratum yellow vein virus, complete genome"
NC_013597.1," Aggregatibacter phage S1249, complete sequence"
NC_019519.1," Agrobacterium phage 7-7-1, complete genome"
NC_047845.1," Agrobacterium phage Atu_ph02, complete genome"
NC_047846.1," Agrobacterium phage Atu_ph03, complete genome"
NC_042013.1," Agrobacterium phage Atu_ph07, complete genome"
NC_005903.1," Agropyron mosaic virus, complete genome"
NC_011345.1," Agrotis ipsilon multiple nucleopolyhedrovirus, complete genome"
NC_039213.1," Agrotis segetum granulovirus strain DA, complete genome"
NC_007921.1," Agrotis segetum nucleopolyhedrovirus, complete genome"
NC_025960.1," Agrotis segetum nucleopolyhedrovirus B isolate English, complete genome"
NC_015451.1," Aguacate virus segment L, complete genome"
NC_015450.1," Aguacate virus segment M, complete genome"
NC_015452.1," Aguacate virus segment S, complete genome"
NC_001918.1," Aichi virus, complete genome"
NC_004421.1," Aichivirus B genomic RNA, complete genome, strain:U-1"
NC_035201.1," Ailuropoda melanoleuca papillomavirus 1 strain gpam001, complete genome"
NC_035199.1," Ailuropoda melanoleuca papillomavirus 2 strain gpam002, complete genome"
NC_035193.1," Ailuropoda melanoleuca papillomavirus 4 strain gpam004, complete genome"
NC_035198.1," Aimelvirus 2 strain gpai002, complete genome"
NC_018465.1," Aino virus RdRp gene for RNA-dependent RNA polymerase, segment L, genomic RNA, isolate 38K"
NC_018459.1," Aino virus Gn-Gc-NSm gene for M polyprotein, segment M, genomic RNA, isolate 38K"
NC_018460.1," Aino virus N and NSs genes, segment S, genomic RNA, isolate 38K"
NC_027781.1," Aiptasia sp. sea anemone associated circular virus isolate I0007C2, complete genome"
NC_009894.1," Akabane virus segment L, complete sequence"
NC_009895.1," Akabane virus segment M, complete sequence"
NC_009896.1," Akabane virus segment S, complete sequence"
NC_040715.1," Akodon montensis polyomavirus isolate 1b, complete genome"
NC_038717.1," Alajuela virus strain MARU 11079 segment L, complete sequence"
NC_038715.1," Alajuela virus strain MARU 11079 segment M, complete sequence"
NC_038716.1," Alajuela virus strain MARU 11079 segment S, complete sequence"
NC_002531.1," Alcelaphine herpesvirus 1, complete genome"
NC_024382.1," Alcelaphine herpesvirus 2 isolate topi-AlHV-2, complete genome"
NC_040327.1," Alces alces faeces associated circular virus MP65, complete genome"
NC_040350.1," Alces alces faeces associated microvirus MP10 5560, complete genome"
NC_040342.1," Alces alces faeces associated microvirus MP11 5517, complete genome"
NC_040328.1," Alces alces faeces associated microvirus MP12 5423, complete genome"
NC_040374.1," Alces alces faeces associated microvirus MP15 5067, complete genome"
NC_040373.1," Alces alces faeces associated microvirus MP18 4940, complete genome"
NC_040349.1," Alces alces faeces associated microvirus MP21 4718, complete genome"
NC_040375.1," Alces alces faeces associated microvirus MP3 6497, complete genome"
NC_040359.1," Alces alces faeces associated smacovirus MP78, complete genome"
NC_001662.1," Aleutian mink disease virus, complete genome"
NC_028237.2," Alfalfa dwarf virus isolate Manfredi, complete genome"
NC_029993.1," Alfalfa enamovirus-1 isolate Manfredi, complete genome"
NC_026616.2," Alfalfa latent virus isolate ATCC PV-264 RNA-dependent RNA polymerase, TGB1, TGB2, TGB3, and coat protein genes, complete cds"
NC_027714.1," Alfalfa leaf curl virus isolate 44-1E, complete genome"
NC_001495.1," Alfalfa mosaic virus RNA 1, complete sequence"
NC_002024.2," Alfalfa mosaic virus RNA 2, complete sequence"
NC_002025.1," Alfalfa mosaic virus RNA 3, complete sequence"
NC_040565.1," Alfalfa virus F isolate SM-1_C50, complete genome"
NC_034622.1," Alfalfa virus S isolate 98.3A, complete genome"
NC_010736.1," Algerian watermelon mosaic virus, complete genome"
NC_010947.1," Allamanda leaf curl virus DNA-A, complete genome"
NC_024009.1," Allamanda leaf mottle distortion virus isolate Al-K1 segment DNA-A, complete sequence"
NC_040180.1," Allamanda leaf mottle distortion virus isolate Al-K1 segment DNA-B, complete sequence"
NC_036580.1," Allium cepa amalgavirus 1 strain AcAV1-OH1, complete genome"
NC_036581.1," Allium cepa amalgavirus 2 strain AcAV2-DH5225, complete genome"
NC_012211.2," Allium virus X, complete genome"
NC_010249.1," Allpahuayo virus segment L, complete sequence"
NC_010253.1," Allpahuayo virus segment S, complete sequence"
NC_025391.1," Almpiwar virus isolate MRM4059, complete genome"
NC_046964.1," Alphacoronavirus Bat-CoV/P.kuhlii/Italy/3398-19/2015, complete genome"
NC_001678.1," Rhesus monkey papillomavirus, complete genome"
NC_001694.1," Human papillomavirus - 61, complete genome"
NC_001352.1," Human papillomavirus - 2, complete genome"
NC_001357.1," Human papillomavirus - 18, complete genome"
NC_006938.1," Phage phiJL001, complete genome"
NC_007408.1," Alstroemeria virus x, complete genome"
NC_040742.1," Alstroemeria yellow spot virus isolate Als-2000 segment L, complete sequence"
NC_040743.1," Alstroemeria yellow spot virus isolate Als-2000 segment M, complete sequence"
NC_040741.1," Alstroemeria yellow spot virus isolate Als-2000 segment S, complete sequence"
NC_007731.1," Alternanthera mosaic virus, complete genome"
NC_009562.1," Alternanthera yellow vein virus satellite DNA beta, complete genome"
NC_007211.1," Alternanthera yellow vein virus DNA-A, complete genome"
NC_040738.1," Alternaria alternata chrysovirus 1 AaCV1 RNA, segment RNA1, complete sequence"
NC_040739.1," Alternaria alternata chrysovirus 1 AaCV1 RNA, segment RNA2, complete sequence"
NC_040736.1," Alternaria alternata chrysovirus 1 AaCV1 RNA, segment RNA3, complete sequence"
NC_040740.1," Alternaria alternata chrysovirus 1 AaCV1 RNA, segment RNA4, complete sequence"
NC_040737.1," Alternaria alternata chrysovirus 1 AaCV1 RNA, segment RNA5, complete sequence"
NC_010984.1," Alternaria alternata dsRNA mycovirus segment L, complete sequence"
NC_010989.1," Alternaria alternata dsRNA mycovirus segment M1, complete sequence"
NC_010990.1," Alternaria alternata dsRNA mycovirus segment M2, complete sequence"
NC_010991.1," Alternaria alternata dsRNA mycovirus segment S, complete sequence"
NC_030747.1," Alternaria arborescens mitovirus 1 genomic RNA, complete genome"
NC_040793.1," Alternaria arborescens victorivirus 1 genomic RNA, complete genome"
NC_026136.1," Alternaria brassicicola endornavirus isolate 1, complete genome"
NC_029056.1," Alternaria brassicicola fusarivirus 1 isolate 817-14, complete genome"
NC_024703.1," Alternaria longipes dsRNA virus 1 strain HN28, complete genome"
NC_021532.1," Alteromonas phage vB_AmaP_AD45-P1, complete genome"
NC_047834.1," Alteromonas virus vB_AspP-H4/4, complete genome"
NC_009947.1," Amasya cherry disease associated chrysovirus segment 1, complete sequence"
NC_009946.1," Amasya cherry disease associated chrysovirus segment 2, complete sequence"
NC_009945.1," Amasya cherry disease associated chrysovirus segment 3, complete sequence"
NC_009944.1," Amasya cherry disease associated chrysovirus segment 4, complete sequence"
NC_006441.1," Amasya cherry disease-associated mycovirus, complete genome"
NC_006440.1," Amasya cherry disease-associated mycovirus, complete genome"
NC_018402.1," Amazon lily mild mottle virus 1a gene for replication protein 1a, complete cds, strain: Japan"
NC_018403.1," Amazon lily mild mottle virus 2a gene for replication protein 2a, complete cds, strain: Japan"
NC_018404.1," Amazon lily mild mottle virus 3a, 3b genes for movement protein, coat protein, complete cds, strain: Japan"
NC_033844.1," Ambe virus strain BeAr407981 segment L, complete sequence"
NC_033835.1," Ambe virus strain BeAr407981 segment M, complete sequence"
NC_033845.1," Ambe virus strain BeAr407981 segment S, complete sequence"
NC_005832.1," Ambystoma tigrinum virus, complete genome"
NC_031751.1," Amdoparvovirus sp. isolate amdo-CA1, complete genome"
NC_022755.1," American bat vesiculovirus TFFN-2013 isolate liver2008, complete genome"
NC_010584.1," American grass carp reovirus segment 1, complete sequence"
NC_010585.1," American grass carp reovirus segment 2, complete sequence"
NC_010586.1," American grass carp reovirus segment 3, complete sequence"
NC_010587.1," American grass carp reovirus segment 4, complete sequence"
NC_010588.1," American grass carp reovirus segment 5, complete sequence"
NC_010589.1," American grass carp reovirus segment 6, complete sequence"
NC_010590.1," American grass carp reovirus segment 7, complete sequence"
NC_010591.1," American grass carp reovirus segment 8, complete sequence"
NC_010592.1," American grass carp reovirus segment 9, complete sequence"
NC_010593.1," American grass carp reovirus segment 10, complete sequence"
NC_010594.1," American grass carp reovirus segment 11, complete sequence"
NC_017859.1," American hop latent virus, complete genome"
NC_003451.1," American plum line pattern virus RNA1, complete genome"
NC_003452.1," American plum line pattern virus RNA2, complete genome"
NC_003453.1," American plum line pattern virus RNA3, complete genome"
NC_033746.1," Amphibola crenata associated bacilladnavirus 1 isolate GaBacV1, complete genome"
NC_033741.1," Amphibola crenata associated bacilladnavirus 2 isolate GaBacV2, complete genome"
NC_027214.1," Ampivirus A1 strain NEWT/2013/HUN, complete genome"
NC_002520.1," Amsacta moorei entomopoxvirus 'L', complete genome"
NC_024358.1," Anabaena phage A-4L, complete genome"
NC_011559.1," Anagyris vein yellowing virus, complete genome"
NC_013036.1," Anatid herpesvirus 1, complete genome"
NC_024907.1," Ancient caribou feces associated virus, complete genome"
NC_020470.1," Andean potato latent virus, complete genome"
NC_020471.1," Andean potato mild mosaic virus isolate Hu, complete genome"
NC_003468.2," Andes virus segment L, complete genome"
NC_003467.2," Andes virus segment M, complete genome"
NC_003466.1," Andes virus segment S, complete sequence"
NC_040813.1," Andrena haemorrhoa nege-like virus isolate ahae2, complete genome"
NC_023876.2," Andrographis yellow vein leaf curl betasatellite clone bt-2, complete sequence"
NC_028262.1," Andrographis yellow vein leaf curl virus isolate A-64, complete genome"
NC_043523.1," Angelica bushy stunt virus isolate AD, complete genome"
NC_007733.2," Angelonia flower break virus, complete genome"
NC_023421.1," Anguilla anguilla circovirus isolate Ba1, complete genome"
NC_013668.3," Anguillid herpesvirus 1, complete genome"
NC_033836.1," Anhanga virus strain BeAn46852 segment L, complete sequence"
NC_033846.1," Anhanga virus strain BeAn46852 segment M, complete sequence"
NC_033837.1," Anhanga virus strain BeAn46852 segment S, complete sequence"
